index,case_key,opinion_label
236,a166,majority
237,a166,dissent1
238,a168,majority
239,a168,dissent1
240,a169,majority
241,a169,dissent1
242,a170,majority
243,a170,dissent1
244,a171,majority
245,a171,dissent1
246,a173,majority
247,a173,dissent1
248,a175,majority
249,a175,dissent1
250,a177,majority
251,a177,dissent1
252,a178,majority
253,a178,dissent1
254,a178,majority
255,a178,dissent2
256,a180,majority
257,a180,dissent1
258,a181,majority
259,a181,dissent1
260,a182,majority
261,a182,dissent1
262,a183,majority
263,a183,dissent1
264,a184,majority
265,a184,dissent1
266,a184,majority
267,a184,dissent2
268,a184,majority
269,a184,dissent3
270,a185,majority
271,a185,dissent1
272,a185,majority
273,a185,dissent2
274,a185,majority
275,a185,dissent3
276,a185,majority
277,a185,dissent4
278,a186,majority
279,a186,dissent1
280,a187,majority
281,a187,dissent1
282,a191,majority
283,a191,dissent1
284,a191,majority
285,a191,dissent2
286,a191,majority
287,a191,dissent3
288,a192,majority
289,a192,dissent1
290,a193,majority
291,a193,dissent1
292,a194,majority
293,a194,dissent1
294,a195,majority
295,a195,dissent1
296,a196,majority
297,a196,dissent1
298,a197,majority
299,a197,dissent1
300,a197,majority
301,a197,dissent2
302,a198,majority
303,a198,dissent1
304,a198,majority
305,a198,dissent2
306,a199,majority
307,a199,dissent1
308,a200,majority
309,a200,dissent1
310,a201,majority
311,a201,dissent1
312,a201,majority
313,a201,dissent2
314,a201,majority
315,a201,dissent3
316,a201,majority
317,a201,dissent4
318,a202,majority
319,a202,dissent1
320,a202,majority
321,a202,dissent2
322,a202,majority
323,a202,dissent3
324,a203,majority
325,a203,dissent1
326,a204,majority
327,a204,dissent1
328,a204,majority
329,a204,dissent2
330,a205,majority
331,a205,dissent1
332,a206,majority
333,a206,dissent1
334,a207,majority
335,a207,dissent1
336,a208,majority
337,a208,dissent1
338,a209,majority
339,a209,dissent1
340,a212,majority
341,a212,dissent1
342,a213,majority
343,a213,dissent1
344,a214,majority
345,a214,dissent1
346,a214,majority
347,a214,dissent2
348,a214,majority
349,a214,dissent3
350,a215,majority
351,a215,dissent1
352,a216,majority
353,a216,dissent1
354,a223,majority
355,a223,dissent1
356,a223,majority
357,a223,dissent2
358,a224,majority
359,a224,dissent1
360,a225,majority
361,a225,dissent1
362,a225,majority
363,a225,dissent2
364,a226,majority
365,a226,dissent1
366,a226,majority
367,a226,dissent2
368,a227,majority
369,a227,dissent1
370,a228,majority
371,a228,dissent1
372,a229,majority
373,a229,dissent1
374,a230,majority
375,a230,dissent1
376,a232,majority
377,a232,dissent1
378,a234,majority
379,a234,dissent1
380,a237,majority
381,a237,dissent1
382,a238,majority
383,a238,dissent1
384,a238,majority
385,a238,dissent2
386,a239,majority
387,a239,dissent1
388,a241,majority
389,a241,dissent1
390,a242,majority
391,a242,dissent1
392,a243,majority
393,a243,dissent1
394,a245,majority
395,a245,dissent1
396,a246,majority
397,a246,dissent1
398,a246,majority
399,a246,dissent2
400,a248,majority
401,a248,dissent1
402,a249,majority
403,a249,dissent1
404,a250,majority
405,a250,dissent1
406,a251,majority
407,a251,dissent1
408,a251,majority
409,a251,dissent2
410,a252,majority
411,a252,dissent1
412,a253,majority
413,a253,dissent1
414,a254,majority
415,a254,dissent1
416,a255,majority
417,a255,dissent1
418,a256,majority
419,a256,dissent1
420,a259,majority
421,a259,dissent1
422,a263,majority
423,a263,dissent1
424,a264,majority
425,a264,dissent1
426,a264,majority
427,a264,dissent2
428,a265,majority
429,a265,dissent1
430,a265,majority
431,a265,dissent2
432,a270,majority
433,a270,dissent1
434,a271,majority
435,a271,dissent1
436,a272,majority
437,a272,dissent1
438,a273,majority
439,a273,dissent1
440,a274,majority
441,a274,dissent1
442,a277,majority
443,a277,dissent1
444,a278,majority
445,a278,dissent1
446,a279,majority
447,a279,dissent1
448,a280,majority
449,a280,dissent1
450,a281,majority
451,a281,dissent1
452,a283,majority
453,a283,dissent1
454,a284,majority
455,a284,dissent1
456,a285,majority
457,a285,dissent1
458,a285,majority
459,a285,dissent2
460,a286,majority
461,a286,dissent1
462,a288,majority
463,a288,dissent1
464,a289,majority
465,a289,dissent1
466,a293,majority
467,a293,dissent1
468,a293,majority
469,a293,dissent2
470,a294,majority
471,a294,dissent1
472,a295,majority
473,a295,dissent1
474,a296,majority
475,a296,dissent1
476,a297,majority
477,a297,dissent1
478,a298,majority
479,a298,dissent1
480,a298,majority
481,a298,dissent2
482,a298,majority
483,a298,dissent3
484,a299,majority
485,a299,dissent1
486,a300,majority
487,a300,dissent1
488,a301,majority
489,a301,dissent1
490,a301,majority
491,a301,dissent2
492,a301,majority
493,a301,dissent3
494,a302,majority
495,a302,dissent1
496,a303,majority
497,a303,dissent1
498,a305,majority
499,a305,dissent1
500,a306,majority
501,a306,dissent1
502,a307,majority
503,a307,dissent1
504,a309,majority
505,a309,dissent1
506,a310,majority
507,a310,dissent1
508,a311,majority
509,a311,dissent1
510,a312,majority
511,a312,dissent1
512,a313,majority
513,a313,dissent1
514,a314,majority
515,a314,dissent1
516,a315,majority
517,a315,dissent1
518,a316,majority
519,a316,dissent1
520,a317,majority
521,a317,dissent1
522,a317,majority
523,a317,dissent2
524,a321,majority
525,a321,dissent1
526,a322,majority
527,a322,dissent1
528,a323,majority
529,a323,dissent1
530,a323,majority
531,a323,dissent2
532,a324,majority
533,a324,dissent1
534,a324,majority
535,a324,dissent2
536,a324,majority
537,a324,dissent3
538,a326,majority
539,a326,dissent1
540,a328,majority
541,a328,dissent1
542,a329,majority
543,a329,dissent1
544,a330,majority
545,a330,dissent1
546,a331,majority
547,a331,dissent1
548,a331,majority
549,a331,dissent2
550,a332,majority
551,a332,dissent1
552,a333,majority
553,a333,dissent1
554,a334,majority
555,a334,dissent1
556,a335,majority
557,a335,dissent1
558,a336,majority
559,a336,dissent1
560,a337,majority
561,a337,dissent1
562,a338,majority
563,a338,dissent1
564,a341,majority
565,a341,dissent1
566,a343,majority
567,a343,dissent1
568,a343,majority
569,a343,dissent2
570,a343,majority
571,a343,dissent3
572,a344,majority
573,a344,dissent1
574,a344,majority
575,a344,dissent2
576,a345,majority
577,a345,dissent1
578,a346,majority
579,a346,dissent1
580,a346,majority
581,a346,dissent2
582,a347,majority
583,a347,dissent1
584,a348,majority
585,a348,dissent1
586,a348,majority
587,a348,dissent2
588,a349,majority
589,a349,dissent1
590,a350,majority
591,a350,dissent1
592,a351,majority
593,a351,dissent1
594,a351,majority
595,a351,dissent2
596,a352,majority
597,a352,dissent1
598,a353,majority
599,a353,dissent1
600,a356,majority
601,a356,dissent1
602,a357,majority
603,a357,dissent1
604,a358,majority
605,a358,dissent1
606,a359,majority
607,a359,dissent1
608,a359,majority
609,a359,dissent2
610,a360,majority
611,a360,dissent1
612,a361,majority
613,a361,dissent1
614,a362,majority
615,a362,dissent1
616,a363,majority
617,a363,dissent1
618,a366,majority
619,a366,dissent1
620,a366,majority
621,a366,dissent2
622,a367,majority
623,a367,dissent1
624,a368,majority
625,a368,dissent1
626,a368,majority
627,a368,dissent2
628,a369,majority
629,a369,dissent1
630,a369,majority
631,a369,dissent2
632,a370,majority
633,a370,dissent1
634,a371,majority
635,a371,dissent1
636,a371,majority
637,a371,dissent2
638,a372,majority
639,a372,dissent1
640,a373,majority
641,a373,dissent1
642,a374,majority
643,a374,dissent1
644,a375,majority
645,a375,dissent1
646,a376,majority
647,a376,dissent1
648,a377,majority
649,a377,dissent1
650,a378,majority
651,a378,dissent1
652,a379,majority
653,a379,dissent1
654,a380,majority
655,a380,dissent1
656,a381,majority
657,a381,dissent1
658,a382,majority
659,a382,dissent1
660,a383,majority
661,a383,dissent1
662,a384,majority
663,a384,dissent1
664,a385,majority
665,a385,dissent1
666,a385,majority
667,a385,dissent2
668,a386,majority
669,a386,dissent1
670,a388,majority
671,a388,dissent1
672,a389,majority
673,a389,dissent1
674,a389,majority
675,a389,dissent2
676,a390,majority
677,a390,dissent1
678,a391,majority
679,a391,dissent1
680,a391,majority
681,a391,dissent2
682,a392,majority
683,a392,dissent1
684,a393,majority
685,a393,dissent1
686,a394,majority
687,a394,dissent1
688,a395,majority
689,a395,dissent1
690,a395,majority
691,a395,dissent2
692,a396,majority
693,a396,dissent1
694,a397,majority
695,a397,dissent1
696,a397,majority
697,a397,dissent2
698,a398,majority
699,a398,dissent1
700,a399,majority
701,a399,dissent1
702,a401,majority
703,a401,dissent1
704,a402,majority
705,a402,dissent1
706,a403,majority
707,a403,dissent1
708,a404,majority
709,a404,dissent1
710,a405,majority
711,a405,dissent1
712,a409,majority
713,a409,dissent1
714,a410,majority
715,a410,dissent1
716,a411,majority
717,a411,dissent1
718,a412,majority
719,a412,dissent1
720,a413,majority
721,a413,dissent1
722,a414,majority
723,a414,dissent1
724,a415,majority
725,a415,dissent1
726,a415,majority
727,a415,dissent2
728,a418,majority
729,a418,dissent1
730,a420,majority
731,a420,dissent1
732,a421,majority
733,a421,dissent1
734,a422,majority
735,a422,dissent1
736,a423,majority
737,a423,dissent1
738,a424,majority
739,a424,dissent1
740,a425,majority
741,a425,dissent1
742,a426,majority
743,a426,dissent1
744,a428,majority
745,a428,dissent1
746,a429,majority
747,a429,dissent1
748,a430,majority
749,a430,dissent1
750,a431,majority
751,a431,dissent1
752,a434,majority
753,a434,dissent1
754,a435,majority
755,a435,dissent1
756,a436,majority
757,a436,dissent1
758,a437,majority
759,a437,dissent1
760,a438,majority
761,a438,dissent1
762,a439,majority
763,a439,dissent1
764,a439,majority
765,a439,dissent2
766,a440,majority
767,a440,dissent1
768,a440,majority
769,a440,dissent2
770,a440,majority
771,a440,dissent3
772,a440,majority
773,a440,dissent4
774,a441,majority
775,a441,dissent1
776,a443,majority
777,a443,dissent1
778,a444,majority
779,a444,dissent1
780,a445,majority
781,a445,dissent1
782,a446,majority
783,a446,dissent1
784,a448,majority
785,a448,dissent1
786,a450,majority
787,a450,dissent1
788,a451,majority
789,a451,dissent1
790,a452,majority
791,a452,dissent1
792,a453,majority
793,a453,dissent1
794,a454,majority
795,a454,dissent1
796,a455,majority
797,a455,dissent1
798,a456,majority
799,a456,dissent1
800,a456,majority
801,a456,dissent2
802,a457,majority
803,a457,dissent1
804,a459,majority
805,a459,dissent1
806,a460,majority
807,a460,dissent1
808,a461,majority
809,a461,dissent1
810,a462,majority
811,a462,dissent1
812,a463,majority
813,a463,dissent1
814,a467,majority
815,a467,dissent1
816,a468,majority
817,a468,dissent1
818,a469,majority
819,a469,dissent1
820,a470,majority
821,a470,dissent1
822,a471,majority
823,a471,dissent1
824,a472,majority
825,a472,dissent1
826,a473,majority
827,a473,dissent1
828,a473,majority
829,a473,dissent2
830,a474,majority
831,a474,dissent1
832,a474,majority
833,a474,dissent2
834,a475,majority
835,a475,dissent1
836,a477,majority
837,a477,dissent1
838,a478,majority
839,a478,dissent1
840,a482,majority
841,a482,dissent1
842,a483,majority
843,a483,dissent1
844,a485,majority
845,a485,dissent1
846,a486,majority
847,a486,dissent1
848,a487,majority
849,a487,dissent1
850,a488,majority
851,a488,dissent1
852,a489,majority
853,a489,dissent1
854,a490,majority
855,a490,dissent1
856,a491,majority
857,a491,dissent1
858,a492,majority
859,a492,dissent1
860,a493,majority
861,a493,dissent1
862,a495,majority
863,a495,dissent1
864,a495,majority
865,a495,dissent2
866,a497,majority
867,a497,dissent1
868,a498,majority
869,a498,dissent1
870,a499,majority
871,a499,dissent1
872,a499,majority
873,a499,dissent2
874,a500,majority
875,a500,dissent1
876,a502,majority
877,a502,dissent1
878,a503,majority
879,a503,dissent1
880,a504,majority
881,a504,dissent1
882,a505,majority
883,a505,dissent1
884,a506,majority
885,a506,dissent1
886,a507,majority
887,a507,dissent1
888,a508,majority
889,a508,dissent1
890,a509,majority
891,a509,dissent1
892,a510,majority
893,a510,dissent1
894,a511,majority
895,a511,dissent1
896,a512,majority
897,a512,dissent1
898,a512,majority
899,a512,dissent2
900,a513,majority
901,a513,dissent1
902,a514,majority
903,a514,dissent1
904,a515,majority
905,a515,dissent1
906,a516,majority
907,a516,dissent1
908,a517,majority
909,a517,dissent1
910,a518,majority
911,a518,dissent1
912,a520,majority
913,a520,dissent1
914,a520,majority
915,a520,dissent2
916,a521,majority
917,a521,dissent1
918,a521,majority
919,a521,dissent2
920,a522,majority
921,a522,dissent1
922,a522,majority
923,a522,dissent2
924,a523,majority
925,a523,dissent1
926,a525,majority
927,a525,dissent1
928,a525,majority
929,a525,dissent2
930,a526,majority
931,a526,dissent1
932,a527,majority
933,a527,dissent1
934,a528,majority
935,a528,dissent1
936,a529,majority
937,a529,dissent1
938,a530,majority
939,a530,dissent1
940,a531,majority
941,a531,dissent1
942,a532,majority
943,a532,dissent1
944,a533,majority
945,a533,dissent1
946,a534,majority
947,a534,dissent1
948,a535,majority
949,a535,dissent1
950,a536,majority
951,a536,dissent1
952,a537,majority
953,a537,dissent1
954,a539,majority
955,a539,dissent1
956,a540,majority
957,a540,dissent1
958,a543,majority
959,a543,dissent1
960,a544,majority
961,a544,dissent1
962,a545,majority
963,a545,dissent1
964,a546,majority
965,a546,dissent1
966,a547,majority
967,a547,dissent1
968,a548,majority
969,a548,dissent1
970,a551,majority
971,a551,dissent1
972,a553,majority
973,a553,dissent1
974,a553,majority
975,a553,dissent2
976,a554,majority
977,a554,dissent1
978,a555,majority
979,a555,dissent1
980,a556,majority
981,a556,dissent1
982,a556,majority
983,a556,dissent2
984,a557,majority
985,a557,dissent1
986,a557,majority
987,a557,dissent2
988,a558,majority
989,a558,dissent1
990,a558,majority
991,a558,dissent2
992,a559,majority
993,a559,dissent1
994,a560,majority
995,a560,dissent1
996,a561,majority
997,a561,dissent1
998,a562,majority
999,a562,dissent1
1000,a562,majority
1001,a562,dissent2
1002,a563,majority
1003,a563,dissent1
1004,a564,majority
1005,a564,dissent1
1006,a565,majority
1007,a565,dissent1
1008,a567,majority
1009,a567,dissent1
1010,a568,majority
1011,a568,dissent1
1012,a569,majority
1013,a569,dissent1
1014,a570,majority
1015,a570,dissent1
1016,a570,majority
1017,a570,dissent2
1018,a571,majority
1019,a571,dissent1
1020,a571,majority
1021,a571,dissent2
1022,a572,majority
1023,a572,dissent1
1024,a572,majority
1025,a572,dissent2
1026,a573,majority
1027,a573,dissent1
1028,a577,majority
1029,a577,dissent1
1030,a578,majority
1031,a578,dissent1
1032,a579,majority
1033,a579,dissent1
1034,a580,majority
1035,a580,dissent1
1036,a581,majority
1037,a581,dissent1
1038,a582,majority
1039,a582,dissent1
1040,a585,majority
1041,a585,dissent1
1042,a587,majority
1043,a587,dissent1
1044,a588,majority
1045,a588,dissent1
1046,a589,majority
1047,a589,dissent1
1048,a590,majority
1049,a590,dissent1
1050,a591,majority
1051,a591,dissent1
1052,a591,majority
1053,a591,dissent2
1054,a592,majority
1055,a592,dissent1
1056,a593,majority
1057,a593,dissent1
1058,a594,majority
1059,a594,dissent1
1060,a594,majority
1061,a594,dissent2
1062,a595,majority
1063,a595,dissent1
1064,a598,majority
1065,a598,dissent1
1066,a598,majority
1067,a598,dissent2
1068,a599,majority
1069,a599,dissent1
1070,a599,majority
1071,a599,dissent2
1072,a599,majority
1073,a599,dissent3
1074,a600,majority
1075,a600,dissent1
1076,a600,majority
1077,a600,dissent2
1078,a600,majority
1079,a600,dissent3
1080,a601,majority
1081,a601,dissent1
1082,a602,majority
1083,a602,dissent1
1084,a603,majority
1085,a603,dissent1
1086,a604,majority
1087,a604,dissent1
1088,a605,majority
1089,a605,dissent1
1090,a606,majority
1091,a606,dissent1
1092,a607,majority
1093,a607,dissent1
1094,a611,majority
1095,a611,dissent1
1096,a614,majority
1097,a614,dissent1
1098,a616,majority
1099,a616,dissent1
1100,a616,majority
1101,a616,dissent2
1102,a617,majority
1103,a617,dissent1
1104,a618,majority
1105,a618,dissent1
1106,a619,majority
1107,a619,dissent1
1108,a620,majority
1109,a620,dissent1
1110,a621,majority
1111,a621,dissent1
1112,a621,majority
1113,a621,dissent2
1114,a622,majority
1115,a622,dissent1
1116,a623,majority
1117,a623,dissent1
1118,a623,majority
1119,a623,dissent2
1120,a624,majority
1121,a624,dissent1
1122,a625,majority
1123,a625,dissent1
1124,a626,majority
1125,a626,dissent1
1126,a628,majority
1127,a628,dissent1
1128,a629,majority
1129,a629,dissent1
1130,a630,majority
1131,a630,dissent1
1132,a630,majority
1133,a630,dissent2
1134,a633,majority
1135,a633,dissent1
1136,a635,majority
1137,a635,dissent1
1138,a636,majority
1139,a636,dissent1
1140,a637,majority
1141,a637,dissent1
1142,a638,majority
1143,a638,dissent1
1144,a639,majority
1145,a639,dissent1
1146,a640,majority
1147,a640,dissent1
1148,a640,majority
1149,a640,dissent2
1150,a641,majority
1151,a641,dissent1
1152,a642,majority
1153,a642,dissent1
1154,a644,majority
1155,a644,dissent1
1156,a645,majority
1157,a645,dissent1
1158,a647,majority
1159,a647,dissent1
1160,a648,majority
1161,a648,dissent1
1162,a649,majority
1163,a649,dissent1
1164,a649,majority
1165,a649,dissent2
1166,a650,majority
1167,a650,dissent1
1168,a651,majority
1169,a651,dissent1
1170,a652,majority
1171,a652,dissent1
1172,a653,majority
1173,a653,dissent1
1174,a656,majority
1175,a656,dissent1
1176,a658,majority
1177,a658,dissent1
1178,a659,majority
1179,a659,dissent1
1180,a660,majority
1181,a660,dissent1
1182,a660,majority
1183,a660,dissent2
1184,a662,majority
1185,a662,dissent1
1186,a663,majority
1187,a663,dissent1
1188,a665,majority
1189,a665,dissent1
1190,a666,majority
1191,a666,dissent1
1192,a666,majority
1193,a666,dissent2
1194,a667,majority
1195,a667,dissent1
1196,a670,majority
1197,a670,dissent1
1198,a672,majority
1199,a672,dissent1
1200,a674,majority
1201,a674,dissent1
1202,a675,majority
1203,a675,dissent1
1204,a676,majority
1205,a676,dissent1
1206,a677,majority
1207,a677,dissent1
1208,a677,majority
1209,a677,dissent2
1210,a677,majority
1211,a677,dissent3
1212,a678,majority
1213,a678,dissent1
1214,a679,majority
1215,a679,dissent1
1216,a680,majority
1217,a680,dissent1
1218,a683,majority
1219,a683,dissent1
1220,a684,majority
1221,a684,dissent1
1222,a685,majority
1223,a685,dissent1
1224,a686,majority
1225,a686,dissent1
1226,a687,majority
1227,a687,dissent1
1228,a691,majority
1229,a691,dissent1
1230,a692,majority
1231,a692,dissent1
1232,a693,majority
1233,a693,dissent1
1234,a694,majority
1235,a694,dissent1
1236,a695,majority
1237,a695,dissent1
1238,a695,majority
1239,a695,dissent2
1240,a695,majority
1241,a695,dissent3
1242,a696,majority
1243,a696,dissent1
1244,a697,majority
1245,a697,dissent1
1246,a698,majority
1247,a698,dissent1
1248,a701,majority
1249,a701,dissent1
1250,a701,majority
1251,a701,dissent2
1252,a702,majority
1253,a702,dissent1
1254,a706,majority
1255,a706,dissent1
1256,a707,majority
1257,a707,dissent1
1258,a707,majority
1259,a707,dissent2
1260,a709,majority
1261,a709,dissent1
1262,a710,majority
1263,a710,dissent1
1264,a711,majority
1265,a711,dissent1
1266,a712,majority
1267,a712,dissent1
1268,a713,majority
1269,a713,dissent1
1270,a714,majority
1271,a714,dissent1
1272,a714,majority
1273,a714,dissent2
1274,a715,majority
1275,a715,dissent1
1276,a716,majority
1277,a716,dissent1
1278,a717,majority
1279,a717,dissent1
1280,a717,majority
1281,a717,dissent2
1282,a718,majority
1283,a718,dissent1
1284,a719,majority
1285,a719,dissent1
1286,a720,majority
1287,a720,dissent1
1288,a721,majority
1289,a721,dissent1
1290,a722,majority
1291,a722,dissent1
1292,a723,majority
1293,a723,dissent1
1294,a723,majority
1295,a723,dissent2
1296,a724,majority
1297,a724,dissent1
1298,a725,majority
1299,a725,dissent1
1300,a726,majority
1301,a726,dissent1
1302,a726,majority
1303,a726,dissent2
1304,a727,majority
1305,a727,dissent1
1306,a728,majority
1307,a728,dissent1
1308,a729,majority
1309,a729,dissent1
1310,a729,majority
1311,a729,dissent2
1312,a730,majority
1313,a730,dissent1
1314,a730,majority
1315,a730,dissent2
1316,a731,majority
1317,a731,dissent1
1318,a731,majority
1319,a731,dissent2
1320,a733,majority
1321,a733,dissent1
1322,a734,majority
1323,a734,dissent1
1324,a736,majority
1325,a736,dissent1
1326,a737,majority
1327,a737,dissent1
1328,a737,majority
1329,a737,dissent2
1330,a738,majority
1331,a738,dissent1
1332,a740,majority
1333,a740,dissent1
1334,a741,majority
1335,a741,dissent1
1336,a741,majority
1337,a741,dissent2
1338,a742,majority
1339,a742,dissent1
1340,a743,majority
1341,a743,dissent1
1342,a745,majority
1343,a745,dissent1
1344,a747,majority
1345,a747,dissent1
1346,a748,majority
1347,a748,dissent1
1348,a749,majority
1349,a749,dissent1
1350,a749,majority
1351,a749,dissent2
1352,a749,majority
1353,a749,dissent3
1354,a750,majority
1355,a750,dissent1
1356,a751,majority
1357,a751,dissent1
1358,a752,majority
1359,a752,dissent1
1360,a753,majority
1361,a753,dissent1
1362,a754,majority
1363,a754,dissent1
1364,a754,majority
1365,a754,dissent2
1366,a755,majority
1367,a755,dissent1
1368,a756,majority
1369,a756,dissent1
1370,a757,majority
1371,a757,dissent1
1372,a758,majority
1373,a758,dissent1
1374,a761,majority
1375,a761,dissent1
1376,a762,majority
1377,a762,dissent1
1378,a763,majority
1379,a763,dissent1
1380,a764,majority
1381,a764,dissent1
1382,a765,majority
1383,a765,dissent1
1384,a767,majority
1385,a767,dissent1
1386,a768,majority
1387,a768,dissent1
1388,a769,majority
1389,a769,dissent1
1390,a770,majority
1391,a770,dissent1
1392,a770,majority
1393,a770,dissent2
1394,a771,majority
1395,a771,dissent1
1396,a772,majority
1397,a772,dissent1
1398,a773,majority
1399,a773,dissent1
1400,a775,majority
1401,a775,dissent1
1402,a775,majority
1403,a775,dissent2
1404,a776,majority
1405,a776,dissent1
1406,a777,majority
1407,a777,dissent1
1408,a778,majority
1409,a778,dissent1
1410,a779,majority
1411,a779,dissent1
1412,a780,majority
1413,a780,dissent1
1414,a781,majority
1415,a781,dissent1
1416,a783,majority
1417,a783,dissent1
1418,a783,majority
1419,a783,dissent2
1420,a786,majority
1421,a786,dissent1
1422,a787,majority
1423,a787,dissent1
1424,a787,majority
1425,a787,dissent2
1426,a788,majority
1427,a788,dissent1
1428,a789,majority
1429,a789,dissent1
1430,a790,majority
1431,a790,dissent1
1432,a791,majority
1433,a791,dissent1
1434,a792,majority
1435,a792,dissent1
1436,a793,majority
1437,a793,dissent1
1438,a794,majority
1439,a794,dissent1
1440,a794,majority
1441,a794,dissent2
1442,a794,majority
1443,a794,dissent3
1444,a795,majority
1445,a795,dissent1
1446,a795,majority
1447,a795,dissent2
1448,a797,majority
1449,a797,dissent1
1450,a799,majority
1451,a799,dissent1
1452,a800,majority
1453,a800,dissent1
1454,a800,majority
1455,a800,dissent2
1456,a802,majority
1457,a802,dissent1
1458,a803,majority
1459,a803,dissent1
1460,a804,majority
1461,a804,dissent1
1462,a805,majority
1463,a805,dissent1
1464,a806,majority
1465,a806,dissent1
1466,a807,majority
1467,a807,dissent1
1468,a808,majority
1469,a808,dissent1
1470,a809,majority
1471,a809,dissent1
1472,a809,majority
1473,a809,dissent2
1474,a810,majority
1475,a810,dissent1
1476,a810,majority
1477,a810,dissent2
1478,a811,majority
1479,a811,dissent1
1480,a813,majority
1481,a813,dissent1
1482,a813,majority
1483,a813,dissent2
1484,a814,majority
1485,a814,dissent1
1486,a815,majority
1487,a815,dissent1
1488,a815,majority
1489,a815,dissent2
1490,a816,majority
1491,a816,dissent1
1492,a816,majority
1493,a816,dissent2
1494,a817,majority
1495,a817,dissent1
1496,a817,majority
