key,row,case_key,case_name,case_name_abbreviation,decision_date,opinion_type,dissent_ind,majority_word_count,dissent_word_count,official citation,precedentAlteration,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,majVotes,minVotes,cossim_score,officialcitation,cb_score,eg_score,jm_score,st_score,sz_score,rs_score,score_mean,binaryRA,openai_score_0,openai_score_1,openai_score_2,openai_score_3,openai_score_4,openai_score_mean,deepseek_chat_score_0,deepseek_chat_score_1,deepseek_chat_score_2,deepseek_chat_score_3,deepseek_chat_score_4,deepseek_chat_score_mean,deepseek_reasoner_score_0,deepseek_reasoner_score_1,deepseek_reasoner_score_2,deepseek_reasoner_score_3,deepseek_reasoner_score_4,deepseek_reasoner_score_mean,anthropic_sonnet_score_0,anthropic_sonnet_score_1,anthropic_sonnet_score_2,anthropic_sonnet_score_3,anthropic_sonnet_score_4,anthropic_sonnet_score_mean,anthropic_opus_score_0,anthropic_opus_score_1,anthropic_opus_score_2,anthropic_opus_score_3,anthropic_opus_score_4,anthropic_opus_score_mean,kldiv_score,d2v_cossim_score,sbert_cossim_score,legalbert_cossim_score,d2v_cosdist_score,sbert_cosdist_score,legalbert_cosdist_score,bertopic_kldiv_score
Low,2015,a2554,HUDGENS v. NATIONAL LABOR RELATIONS BOARD et al.,Hudgens v. National Labor Relations Board,1976-03-03,dissent,1,4558,5352,424 U.S. 507,1.0,30010.0,3.0,1.0,0.0,1.0,6.0,2.0,0.8610813,424 U.S. 507,,3.0,,,,5.0,4.0,1,5,5,5,5,5,5.0,5,4,4,5,4,4.4,5,5,5,5,5,5.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,0.3614794559949708,0.8610813,0.95559275,0.9929014444351196,0.1389186999999999,0.04440725,0.0070985555648803,0.6032475097786302
Low,2959,a4111,ALUMINUM COMPANY OF AMERICA et al. v. CENTRAL LINCOLN PEOPLES' UTILITY DISTRICT et al.,Aluminum Co. of America v. Central Lincoln Peoples' Utility District,1984-06-05,dissent,1,6052,2325,467 U.S. 380,0.0,90120.0,9.0,1.0,0.0,5.0,8.0,1.0,0.88261294,467 U.S. 380,,2.0,,,4.0,,3.0,1,4,4,4,5,4,4.2,4,4,4,4,4,4.0,5,4,4,5,4,4.4,5,5,5,5,5,5.0,3,4,4,4,4,3.8,0.2225894110983274,0.88261294,0.94509715,0.9954259395599364,0.1173870599999999,0.0549028499999999,0.0045740604400635,0.000346179943111
Low,3891,a6184,"McFARLAND v. SCOTT, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, INSTITUTIONAL DIVISION",McFarland v. Scott,1994-06-30,dissent,1,2729,3297,512 U.S. 849,0.0,10020.0,1.0,2.0,0.0,4.0,5.0,4.0,0.81639117,512 U.S. 849,,4.0,5.0,,,,4.5,1,5,5,5,5,5,5.0,4,4,4,5,5,4.4,4,5,5,5,5,4.8,5,5,5,5,5,5.0,4,4,4,4,4,4.0,0.4242771273975025,0.81639117,0.93694144,0.9917352795600892,0.1836088299999999,0.0630585599999999,0.0082647204399107,0.0204277163254137
Low,703,a788,MONROE et al. v. PAPE et al.,Monroe v. Pape,1961-02-20,dissent,1,7609,20909,365 U.S. 167,0.0,20400.0,2.0,2.0,0.0,4.0,8.0,1.0,0.83297575,365 U.S. 167,,2.0,,5.0,,,3.5,1,5,5,5,5,5,5.0,4,4,4,4,4,4.0,5,5,5,5,5,5.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,0.4269312659138121,0.83297575,0.9740542,0.992965042591095,0.1670242499999999,0.0259458,0.007034957408905,0.5189651900830482
Low,3305,a4856,ARIZONA v. MAURO,Arizona v. Mauro,1987-05-04,dissent,1,3049,2222,481 U.S. 520,0.0,10100.0,1.0,1.0,0.0,2.0,5.0,4.0,0.81457525,481 U.S. 520,5.0,4.0,,,,,4.5,1,5,5,5,5,5,5.0,4,4,4,4,4,4.0,5,5,5,5,5,5.0,5,4,5,4,5,4.6,4,4,4,4,4,4.0,0.139690502381386,0.81457525,0.94725144,0.9948464632034302,0.18542475,0.05274856,0.0051535367965698,0.3459142465377468
Low,47,a83,"Wescley Fonseca PEREIRA, Petitioner v. Jefferson B. SESSIONS, III, Attorney General.",Pereira v. Sessions,2018-06-21,dissent,1,6033,5135,138 S. Ct. 2105,0.0,20110.0,2.0,2.0,0.0,4.0,8.0,1.0,0.8945899,138 S. Ct. 2105,,,,4.0,,5.0,4.5,1,5,5,5,5,5,5.0,5,4,5,5,4,4.6,4,5,5,5,5,4.8,5,5,5,5,5,5.0,4,4,4,4,4,4.0,0.1841986662719524,0.8945899,0.96047354,0.994130551815033,0.1054100999999999,0.03952646,0.005869448184967,0.0023480274979418
Low,2702,a3614,"WAINWRIGHT, SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS v. TORNA",Wainwright v. Torna,1982-03-22,dissent,1,725,859,455 U.S. 586,0.0,10120.0,1.0,1.0,0.0,2.0,7.0,2.0,0.7111777,455 U.S. 586,,,,1.0,3.0,,2.0,0,5,5,5,5,5,5.0,4,4,4,4,4,4.0,5,5,5,5,5,5.0,4,4,4,4,4,4.0,3,3,3,3,4,3.2,0.2577634690588004,0.7111777,0.9130447,0.9758429527282716,0.2888223,0.0869552999999999,0.0241570472717284,0.0193868625330541
Low,4669,a7117,ARIZONA v. GANT,Arizona v. Gant,2009-04-21,dissent,1,5872,3597,556 U.S. 332,0.0,10060.0,1.0,2.0,0.0,2.0,5.0,4.0,0.8582267,556 U.S. 332,,5.0,,5.0,,,5.0,1,5,5,5,5,5,5.0,4,4,5,4,4,4.2,5,5,5,5,5,5.0,5,4,4,4,4,4.2,4,4,4,4,4,4.0,0.234867992442245,0.8582267,0.96364486,0.9932640790939332,0.1417733,0.0363551399999999,0.0067359209060667,0.0186984696481639
Low,4549,a6992,"LOPEZ v. GONZALES, ATTORNEY GENERAL",Lopez v. Gonzales,2006-12-05,dissent,1,3726,2435,549 U.S. 47,0.0,20110.0,2.0,2.0,0.0,4.0,8.0,1.0,0.82686824,549 U.S. 47,,,4.0,3.0,,,3.5,1,5,5,5,5,5,5.0,5,4,5,5,5,4.8,5,4,4,5,5,4.6,5,5,5,5,5,5.0,4,4,4,4,4,4.0,0.1909953101127421,0.82686824,0.9648268,0.9928323030471802,0.1731317599999999,0.0351732,0.0071676969528198,0.002069493404182
Low,3567,a5519,"NATIONAL LABOR RELATIONS BOARD v. CURTIN MATHESON SCIENTIFIC, INC.","National Labor Relations Board v. Curtin Matheson Scientific, Inc.",1990-04-17,dissent,1,6679,7432,494 U.S. 775,0.0,70070.0,7.0,2.0,0.0,5.0,5.0,4.0,0.9049779,494 U.S. 775,5.0,,,4.0,,,4.5,1,5,5,5,5,5,5.0,4,4,4,4,5,4.2,5,5,5,5,5,5.0,5,5,5,5,5,5.0,4,5,5,4,5,4.6,0.437062747197472,0.9049779,0.96837574,0.993964433670044,0.0950221,0.0316242599999999,0.006035566329956,0.0339742396922711
Middle,3393,a5067,KUNGYS v. UNITED STATES,Kungys v. United States,1988-05-02,dissent,1,6634,3323,485 U.S. 759,0.0,20280.0,2.0,2.0,0.0,4.0,6.0,2.0,0.9043419,485 U.S. 759,4.0,,,,,2.0,3.0,1,5,5,4,5,5,4.8,4,4,4,4,4,4.0,4,4,5,4,4,4.2,4,4,4,4,4,4.0,4,4,4,4,4,4.0,1.1436594367449977,0.9043419,0.9583901,0.9944138526916504,0.0956580999999999,0.0416098999999999,0.0055861473083496,0.0102808884899939
Middle,3649,a5721,CALIFORNIA v. HODARI D.,California v. Hodari D.,1991-04-23,dissent,1,2398,6469,499 U.S. 621,0.0,10050.0,1.0,1.0,0.0,2.0,7.0,2.0,0.8281176,499 U.S. 621,3.0,,,,5.0,,4.0,1,5,5,5,5,5,5.0,5,5,5,5,5,5.0,5,5,5,5,5,5.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,1.296449574358021,0.8281176,0.94057417,0.9928268194198608,0.1718824,0.05942583,0.0071731805801391,1.3406657596232292
Middle,471,a543,"KERNAN, ADMINISTRATOR, v. AMERICAN DREDGING CO.",Kernan v. American Dredging Co.,1958-02-03,dissent,1,4793,3889,355 U.S. 426,0.0,80070.0,8.0,2.0,0.0,4.0,5.0,4.0,0.8292808,355 U.S. 426,4.0,5.0,,,,,4.5,1,5,5,5,5,5,5.0,5,5,5,4,5,4.8,5,5,5,5,5,5.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,1.2988643457128992,0.8292808,0.94940865,0.994913935661316,0.1707191999999999,0.05059135,0.0050860643386839,0.0026952936334057
Middle,4110,a6466,NATIONAL ENDOWMENT FOR THE ARTS et al. v. FINLEY et al.,National Endowment for the Arts v. Finley,1998-06-25,dissent,1,5458,7581,524 U.S. 569,0.0,30010.0,3.0,1.0,0.0,1.0,8.0,1.0,0.87016654,524 U.S. 569,3.0,,,3.0,,,3.0,1,5,5,5,5,5,5.0,5,5,5,5,5,5.0,5,5,5,5,5,5.0,5,5,5,5,5,5.0,4,4,5,4,4,4.2,1.3730209196962575,0.87016654,0.95949125,0.9938737154006958,0.1298334599999999,0.0405087499999999,0.0061262845993041,0.6346202330031907
Middle,1079,a1240,"BROTHERHOOD OF RAILWAY & STEAMSHIP CLERKS, FREIGHT HANDLERS, EXPRESS & STATION EMPLOYEES, AFL-CIO, et al. v. FLORIDA EAST COAST RAILWAY CO.",Brotherhood of Railway & Steamship Clerks v. Florida East Coast Railway Co.,1966-05-23,dissent,1,2657,759,384 U.S. 238,0.0,70200.0,7.0,1.0,0.0,4.0,7.0,1.0,0.6771769,384 U.S. 238,2.0,,3.0,,,,2.5,0,5,5,4,4,5,4.6,5,5,5,5,4,4.8,4,4,5,4,4,4.2,4,4,4,4,4,4.0,4,2,2,2,2,2.4,1.0028851436335655,0.6771769,0.87269807,0.9890745282173156,0.3228231,0.12730193,0.0109254717826844,0.0056632352949418
Middle,2524,a3290,"REEVES, INC. v. STAKE et al.","Reeves, Inc. v. Stake",1980-06-19,dissent,1,6002,2321,447 U.S. 429,0.0,80110.0,8.0,1.0,0.0,2.0,5.0,4.0,0.8632388,447 U.S. 429,,,2.0,,,3.0,2.5,0,5,5,5,5,5,5.0,5,4,4,5,4,4.4,5,5,5,5,4,4.8,4,4,4,4,4,4.0,4,4,4,4,4,4.0,1.3345883851952156,0.8632388,0.95380545,0.994958519935608,0.1367612,0.0461945499999999,0.0050414800643919,22.53900354945062
Middle,3883,a6130,KEY TRONIC CORP. v. UNITED STATES et al.,Key Tronic Corp. v. United States,1994-06-06,dissent,1,3392,1179,511 U.S. 809,0.0,80130.0,8.0,2.0,0.0,4.0,6.0,3.0,0.79366726,511 U.S. 809,,,4.0,,5.0,,4.5,1,5,5,5,5,5,5.0,5,5,5,5,5,5.0,5,5,5,5,5,5.0,5,5,5,5,5,5.0,4,4,4,4,4,4.0,1.30191270430132,0.79366726,0.9292414,0.9873014092445374,0.20633274,0.0707586,0.0126985907554626,0.0
Middle,3229,a4699,UNITED STATES v. JAMES et al.,United States v. James,1986-07-02,dissent,1,4842,2729,478 U.S. 597,0.0,80060.0,8.0,2.0,0.0,4.0,6.0,3.0,0.79105383,478 U.S. 597,,3.0,2.0,,,,2.5,0,4,5,5,5,5,4.8,5,5,5,5,5,5.0,4,5,5,5,5,4.8,5,5,4,4,5,4.6,4,4,4,4,4,4.0,1.1461373244624964,0.79105383,0.92992276,0.99247407913208,0.20894617,0.07007724,0.00752592086792,17.54035855548929
Middle,583,a662,COUNTY OF ALLEGHENY v. FRANK MASHUDA CO. et al.,County of Allegheny v. Frank Mashuda Co.,1959-06-08,dissent,1,4138,1190,360 U.S. 185,0.0,90090.0,9.0,2.0,0.0,7.0,5.0,4.0,0.7020023,360 U.S. 185,,,1.0,2.0,,,1.5,0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,4,3,4,4,4,3.8,4,4,4,4,4,4.0,4,4,4,4,4,4.0,1.3273368115158488,0.7020023,0.8784865,0.9706848859786988,0.2979977,0.1215135,0.0293151140213011,0.5080406930731856
Middle,2622,a3473,SCHAD et al. v. BOROUGH OF MOUNT EPHRAIM,Schad v. Borough of Mount Ephraim,1981-06-01,dissent,1,4950,1091,452 U.S. 61,0.0,30190.0,3.0,2.0,0.0,2.0,7.0,2.0,0.72877353,452 U.S. 61,1.0,,3.0,,,,2.0,0,3,3,3,3,2,2.8,2,3,2,3,3,2.6,2,3,3,3,3,2.8,4,4,4,4,4,4.0,2,2,2,2,2,2.0,1.001769409994865,0.72877353,0.886994,0.9810804128646852,0.27122647,0.113006,0.0189195871353148,10.198479087998845
